,bzip2_amd64_darwin_clang_bb422561.json,bzip2_amd64_darwin_gcc_61bd47af.json,bzip2_amd64_darwin_go_e1d42f63.json,bzip2_amd64_darwin_rs-pure_b656f970.json,bzip2_amd64_darwin_rs-sys_26d20788.json,bzip2_amd64_darwin_tgo_6170c260.json,bzip2_amd64_linux_clang_ad366643.json,bzip2_amd64_linux_gcc_ccc4cf10.json,bzip2_amd64_linux_go_cf343d1a.json,bzip2_amd64_linux_rs-pure_f4511389.json,bzip2_amd64_linux_rs-sys_9751c6e7.json,bzip2_amd64_linux_tgo_cc1b5a2d.json,bzip2_amd64_windows_clang.exe_fb68290e.json,bzip2_amd64_windows_gcc.exe_2a5000a8.json,bzip2_amd64_windows_go.exe_8d915129.json,bzip2_amd64_windows_msvc.exe_4eddc4d6.json,bzip2_amd64_windows_rs-pure.exe_5b22b00c.json,bzip2_amd64_windows_rs-sys.exe_3e3736a4.json,bzip2_arm64_darwin_clang_34392dac.json,bzip2_arm64_darwin_gcc_3894c17c.json,bzip2_arm64_darwin_go_293ce2f9.json,bzip2_arm64_darwin_rs-pure_9d252a8f.json,bzip2_arm64_darwin_rs-sys_b370b5cd.json,bzip2_arm64_darwin_tgo_f357c0bc.json,bzip2_arm64_linux_clang_375294fc.json,bzip2_arm64_linux_gcc_a5af3ca9.json,bzip2_arm64_linux_go_3b3448f2.json,bzip2_arm64_linux_rs-pure_927550bd.json,bzip2_arm64_linux_rs-sys_e5a5c625.json,bzip2_arm64_linux_tgo_d72531be.json,bzip2_arm64_windows_clang.exe_797eefb0.json,bzip2_arm64_windows_gcc.exe_4b1549dd.json,bzip2_arm64_windows_go.exe_ed2de88c.json,bzip2_arm64_windows_msvc.exe_22595510.json,bzip2_arm64_windows_rs-pure.exe_1f25dd7f.json,bzip2_arm64_windows_rs-sys.exe_d6a1dc5d.json
bzip2_amd64_linux_rs-sys_9751c6e7.json,,,,,,,,,,,1.00,0.11,0.32,0.02,0.35,0.02,0.08,0.09,0.01,0.01,0.33,0.60,0.60,0.14,0.01,0.01,0.33,0.59,0.59,0.17,0.38,0.02,0.26,0.02,0.09,0.10
bzip2_amd64_linux_tgo_cc1b5a2d.json,,,,,,,,,,,,1.00,0.19,0.09,0.16,0.11,0.02,0.02,0.05,0.05,0.14,0.12,0.12,0.43,0.06,0.07,0.14,0.12,0.12,0.41,0.15,0.09,0.20,0.11,0.02,0.02
bzip2_amd64_windows_clang.exe_fb68290e.json,,,,,,,,,,,,,1.00,0.03,0.44,0.05,0.06,0.06,0.02,0.02,0.37,0.35,0.36,0.26,0.02,0.02,0.36,0.35,0.36,0.30,0.62,0.03,0.37,0.04,0.06,0.07
bzip2_amd64_windows_gcc.exe_2a5000a8.json,,,,,,,,,,,,,,1.00,0.03,0.47,0.00,0.00,0.34,0.43,0.03,0.02,0.02,0.07,0.41,0.56,0.03,0.02,0.02,0.05,0.03,0.74,0.04,0.47,0.00,0.00
bzip2_amd64_windows_go.exe_8d915129.json,,,,,,,,,,,,,,,1.00,0.04,0.06,0.06,0.02,0.02,0.48,0.36,0.36,0.19,0.02,0.02,0.53,0.36,0.36,0.22,0.42,0.03,0.54,0.04,0.07,0.07
bzip2_amd64_windows_msvc.exe_4eddc4d6.json,,,,,,,,,,,,,,,,1.00,0.00,0.00,0.28,0.30,0.03,0.02,0.03,0.08,0.31,0.36,0.03,0.02,0.03,0.07,0.04,0.45,0.05,0.68,0.00,0.00
bzip2_amd64_windows_rs-pure.exe_5b22b00c.json,,,,,,,,,,,,,,,,,1.00,0.97,0.00,0.00,0.05,0.09,0.09,0.03,0.00,0.00,0.05,0.09,0.09,0.04,0.07,0.00,0.04,0.00,0.79,0.77
bzip2_amd64_windows_rs-sys.exe_3e3736a4.json,,,,,,,,,,,,,,,,,,1.00,0.00,0.00,0.05,0.09,0.09,0.03,0.00,0.00,0.05,0.10,0.09,0.04,0.07,0.00,0.04,0.00,0.80,0.79
bzip2_arm64_darwin_clang_34392dac.json,,,,,,,,,,,,,,,,,,,1.00,0.58,0.01,0.01,0.01,0.04,0.75,0.48,0.01,0.01,0.01,0.03,0.02,0.37,0.02,0.29,0.00,0.00
bzip2_arm64_darwin_gcc_3894c17c.json,,,,,,,,,,,,,,,,,,,,1.00,0.02,0.01,0.01,0.04,0.55,0.65,0.02,0.01,0.01,0.03,0.02,0.50,0.02,0.30,0.00,0.00
bzip2_arm64_darwin_go_293ce2f9.json,,,,,,,,,,,,,,,,,,,,,1.00,0.33,0.33,0.19,0.02,0.02,0.82,0.33,0.34,0.22,0.38,0.02,0.45,0.03,0.06,0.06
bzip2_arm64_darwin_rs-pure_9d252a8f.json,,,,,,,,,,,,,,,,,,,,,,1.00,0.98,0.18,0.01,0.02,0.32,0.87,0.87,0.21,0.43,0.02,0.26,0.03,0.11,0.11
bzip2_arm64_darwin_rs-sys_b370b5cd.json,,,,,,,,,,,,,,,,,,,,,,,1.00,0.18,0.01,0.02,0.33,0.85,0.87,0.21,0.44,0.02,0.26,0.03,0.11,0.11
bzip2_arm64_darwin_tgo_f357c0bc.json,,,,,,,,,,,,,,,,,,,,,,,,1.00,0.04,0.05,0.16,0.18,0.18,0.68,0.22,0.06,0.21,0.08,0.04,0.04
bzip2_arm64_linux_clang_375294fc.json,,,,,,,,,,,,,,,,,,,,,,,,,1.00,0.59,0.02,0.01,0.01,0.03,0.02,0.44,0.02,0.32,0.00,0.00
bzip2_arm64_linux_gcc_a5af3ca9.json,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,0.02,0.01,0.02,0.04,0.02,0.65,0.03,0.37,0.00,0.00
bzip2_arm64_linux_go_3b3448f2.json,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,0.32,0.33,0.18,0.38,0.02,0.48,0.03,0.06,0.06
bzip2_arm64_linux_rs-pure_927550bd.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,0.98,0.21,0.43,0.02,0.25,0.02,0.11,0.11
bzip2_arm64_linux_rs-sys_e5a5c625.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,0.21,0.44,0.02,0.26,0.02,0.11,0.11
bzip2_arm64_linux_tgo_d72531be.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,0.26,0.05,0.24,0.07,0.05,0.05
bzip2_arm64_windows_clang.exe_797eefb0.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,0.03,0.31,0.04,0.08,0.08
bzip2_arm64_windows_gcc.exe_4b1549dd.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,0.04,0.46,0.00,0.00
bzip2_arm64_windows_go.exe_ed2de88c.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,0.05,0.05,0.05
bzip2_arm64_windows_msvc.exe_22595510.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,0.00,0.00
bzip2_arm64_windows_rs-pure.exe_1f25dd7f.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,0.97
bzip2_arm64_windows_rs-sys.exe_d6a1dc5d.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00

total duration,"34855m 59.91s (2,091,359,911,383,470 nsec)"
